,max t,std t,mean t,mean red,mean green,mean blue,combine mean rgb,median of mean rgb,mean intensity,mean gradient,lightness,meanX,meanY,y
0,1.0,0.056833240541553046,0.791883071231814,79.71807083092143,65.80184707677735,63.39977898226596,69.63989896332158,65.80184707677735,208.91969688996474,17.219281166131662,69.2591174401638,81.98047676682629,359.0921433457875,0
1,1.0,0.12318534236245655,0.17981224750747243,240.4579592772281,225.89974022997288,234.80463765901365,233.7207790554049,234.80463765901365,701.1623371662146,8.558594695088564,230.0997494559248,382.4322687855751,139.01694235397485,1
2,0.853963631572012,0.06969804827019806,0.7445438409360601,90.66911456147713,76.2756729212877,72.4723937413824,79.80572707471573,76.2756729212877,239.41718122414724,11.19051615610575,79.7408924839435,238.69944847431208,376.80115101013126,0
3,0.7963176966662274,0.032512393752832616,0.7491908285471789,87.49723097634856,74.48535936113576,71.82535262980754,77.93598098909729,74.48535936113576,233.80794296729186,13.85386898387541,77.6502344357064,564.2485389958082,368.25169048129,0
4,0.8616497562261167,0.07164891641300958,0.72852538588858,98.13466637805077,85.26800692678175,81.9659072460631,88.4561935169652,85.26800692678175,265.3685805508956,21.15303858433898,88.32773491299787,402.4664484008875,373.4042697115645,0
5,1.0,0.12698828812663746,0.4713278735580937,160.14708557113198,154.16410713979306,151.51359838020556,155.2749303637102,154.16410713979306,465.8247910911306,13.088831311450093,155.44993679784622,155.72327939738156,130.58163317833183,1
6,1.0,0.18254454994749106,0.3802017836415442,188.88027355037565,180.4411481410133,182.4593045655943,183.92690875232776,182.4593045655943,551.7807262569833,20.1882103640917,182.64705624414825,557.0005779233288,61.673954921980354,1
7,0.7033179644357546,0.10389195755311417,0.45462048084177276,161.58008060509027,160.32087451002042,159.02937116987798,160.31010876166292,160.32087451002042,480.93032628498867,15.376175490899723,160.53791953372863,560.1051730801082,211.05504333903826,1
8,1.0,0.04458954300554434,0.8700279965864051,67.43809925192288,53.22347487093035,46.95479928353177,55.872124468795,53.22347487093035,167.616373406385,50.807923295753874,56.59848582950483,24.682435991992413,86.45885575808661,0
9,1.0,0.3139199909684276,0.3431883363906107,239.02566225165563,228.74461920529802,229.55256622516555,232.44094922737304,229.55256622516555,697.3228476821192,160.66583885209712,231.3185875521473,500.5368377483444,62.03932119205298,1
10,1.0,0.23723091429739035,0.4699547461265018,188.82685135855087,183.16888652104421,183.56153436334577,185.1857574143136,183.56153436334577,555.5572722429408,138.3487835198011,184.57484867405296,288.6259989344699,22.364944059669686,1
11,1.0,0.0,1.0,252.5236593059937,250.21135646687696,247.7602523659306,250.16508937960043,250.21135646687696,750.4952681388013,984.1829652996845,250.6050280191027,57.50788643533123,3.5962145110410093,0
12,1.0,0.0,1.0,4.426923076923077,2.546153846153846,3.7653846153846153,3.5794871794871796,3.7653846153846153,10.738461538461538,1484.248717948718,3.188546516915277,546.4576923076924,4.376923076923077,1
13,1.0,0.0,1.0,5.1115702479338845,2.690082644628099,3.239669421487603,3.6804407713498626,3.239669421487603,11.041322314049587,1387.5371900826447,3.4656929653889263,180.28099173553719,4.979338842975206,1
14,1.0,0.0,1.0,25.751243781094526,10.64179104477612,19.70646766169154,18.699834162520727,19.70646766169154,56.09950248756219,112.28524046434494,16.26269114458845,403.44278606965173,151.51243781094527,1
15,1.0,0.11864505547212029,0.5317256463817374,148.36393088552916,140.50323974082073,144.56533477321815,144.47750179985601,144.56533477321815,433.432505399568,26.838012958963283,142.71349047395324,364.45626349892007,253.91576673866092,0
16,1.0,0.04249419139673377,0.9073053366714982,181.12,166.2,159.52,168.9466666666667,166.2,506.84,427.2266666666667,169.47964602748024,86.28,469.0,0
0,0.9515203242676487,0.05410498353008373,0.848143932089792,71.30369238942755,59.26796387302431,51.02765971576571,60.53310532607252,59.26796387302431,181.59931597821756,22.292491256032232,61.88397161827808,238.25667419311995,382.44414928941427,0
1,0.9366035009653867,0.04291882979651046,0.8145231914206099,78.072024877407,67.44425307977515,60.165984930032295,68.56075429573815,67.44425307977515,205.68226288721445,23.340525455487782,69.70136264074097,527.873866762349,379.90096878363835,0
2,1.0,0.12660029034756706,0.17265403993548856,251.76930215293245,245.35173069784707,240.3338437268003,245.81829219252663,245.35173069784707,737.4548765775799,11.305029695619895,246.57780225464475,451.766935783222,135.89191258351894,1
3,1.0,0.04854460688400617,0.8451086184129751,73.37504313957501,61.979588818222155,54.04461864615688,63.13308353465135,61.979588818222155,189.39925060395404,26.953409258985356,64.4250755314096,370.7976137652221,386.83656263866294,0
4,1.0,0.0564932356374504,0.8799791106691018,64.62467407712364,52.5228214628791,44.74977356937011,53.96575636979096,52.5228214628791,161.89726910937284,29.43757376149307,55.21682516651382,83.26403183751887,367.93245505695074,0
5,0.9142282660119938,0.10059357788813775,0.5220033507827011,151.6376728110599,146.50099846390168,140.78375576036868,146.3074756784434,146.50099846390168,438.92242703533026,11.988812083973375,147.37683495882928,111.9607910906298,199.55506912442397,1
6,1.0,0.1285297587354849,0.6069664671580325,127.78504366095463,122.6988378963955,119.49241678156392,123.325432779638,122.6988378963955,369.97629833891403,12.562099227452782,123.7304945526748,117.42800866653536,64.16006828179371,1
7,1.0,0.11303976174676929,0.4282901936688116,182.0,171.2780624547866,163.96859175307452,172.4155514026204,171.2780624547866,517.2466542078611,13.074149987943091,173.4428097103559,270.2201591511936,88.46925488304798,1
8,1.0,0.19468234927533937,0.4389845439151276,189.67192709491,178.26889308735275,175.27061569237608,181.0704786248796,178.26889308735275,543.2114358746388,34.42416833370378,180.88357371957628,563.6111358079573,57.624360969104245,1
